subwatershed,policy_total_building_coverage_avg,claims_total_building_insurance_coverage_avg
040400010301,32595.651,10833.90325
040400010302,63353.03896,19288.57011
040400010303,64285.54901,33104.27684
040400010402,36207.79282,31415.66499
040400010403,43685.48029,21409.68231
040400010501,28531.30807,19072.9731
040400010502,25492.57358,18771.94052
040400010503,29839.38789,15823.06522
040400010504,51898.92327,48346.67595
040400010505,41190.48928,20339.43987
040400010506,34877.71577,14094.00938
040400010507,47862.04534,20818.39039
040400010508,36663.99939,18397.55293
040400010509,29554.10176,15305.97831
040400010602,44513.94538,25790.55182
040500010801,38191.3099,13342.45315
040500010802,16114.47052,9386.414508
040500010803,35710.61526,15967.43667
040500010804,12710.42906,5371.437498
040500011001,55680.80785,179.5417962
040500011002,26471.11578,1635.417503
040500011003,45533.84165,15787.90929
040500011004,39323.04117,15256.99912
040500011005,20481.66497,6043.78869
040500011006,20391.48644,11703.81088
040500011007,35410.88914,27446.62989
040500011501,30497.41822,14323.49265
040500011504,37620.68203,20645.83175
040500011505,23407.77785,2771.950292
040500011506,37778.49311,26955.98412
040500011507,47903.81674,32590.31665
040500011601,11142.09043,4363.29959
040500011602,10492.10484,5346.792203
040500011603,41489.66162,32995.35815
040500011604,11.14830136,0
040500011605,24350.45497,35800.39293
040500011701,25145.05438,16504.95642
040500011702,29304.82516,15778.42756
040500011703,32012.93863,8156.44789
040500011704,68756.64076,15087.54197
040500011705,49466.09168,44132.95925
040500011707,21906.62418,6894.574797
040500011802,27773.54436,14752.66628
040500011803,31530.09308,50269.21853
041000030401,18814.27753,0
041000030403,32306.72073,6441.805096
041000030404,47348.22973,9722.216128
041000030405,14990.0075,210.570109
041000030703,33264.25435,36713.40831
041000030704,24589.42723,24536.49573
041000030706,35678.22006,23175.49973
041000030803,23579.63213,4462.246083
041000030804,53000.03872,6271.312392
041000030805,45322.74725,17450.9215
041000030806,70975.6751,32119.68969
041000040601,34723.73478,17310.43483
041000040602,50192.93901,54041.97493
041000040603,42020.01327,44829.43858
041000040604,41619.99431,18330.47365
041000040605,21006.27363,7681.729682
041000040606,31182.16923,7155.336884
041000050101,30716.16882,13784.54987
041000050102,46515.81377,20702.79204
041000050103,32821.92422,21906.20562
041000050104,47932.40635,75406.57905
041000050105,76894.54021,120672.5717
041000050106,35278.01235,5606.530358
041000071202,23614.42996,16064.82707
041000071203,31647.69516,13897.78858
041000071204,40861.2645,7.490061054
050800011001,41296.37421,447.9719331
050800030101,15488.05935,1233.831434
050800030102,31749.99565,0
050800030103,20283.81161,0
050800030104,59038.68273,0
050800030107,26248.29475,23960.46987
050800030108,20581.52887,11990.46181
050800030201,16033.5652,0
050800030202,30861.35418,1264.009709
050800030203,14172.00409,18467.25112
050800030204,25890.32012,33940.66645
050800030205,14840.18662,6367.186889
050800030301,10998.4036,5534.526391
050800030302,31011.4035,29235.90009
050800030303,30379.47869,56459.03246
050800030304,34794.15338,30183.83827
050800030305,18299.55504,14371.17038
050800030408,23762.33575,24614.98242
050800030501,23473.82146,5012.20984
050800030502,27158.0063,30204.9861
050800030503,30965.18388,50931.09415
050800030504,13410.09276,19643.67996
050800030505,38788.5784,69009.83736
050800030601,23905.38352,0
050800030602,37492.8755,296.3994993
050800030603,23550.78654,25376.92829
050800030604,34914.35059,13999.69806
050800030605,20583.32049,29725.6236
050800030701,4250.412194,798.6294142
050800030703,22733.14827,16478.61639
050800030704,20183.45535,14610.14178
050800030705,28694.74716,26510.07729
050800030706,32135.4547,18537.00318
050800030707,23084.79631,11882.68585
050800030708,40449.03778,891.6730847
050800030709,20473.5276,8102.091094
050800030716,16095.6191,2793.736644
050800030717,63568.61142,9695.319736
050800030801,18673.93826,6127.970275
050800030802,26703.30195,41912.98555
050800030803,29403.12681,9834.651213
050800030804,19895.44307,24651.07039
050800030805,27747.55796,22786.73919
050800030807,19594.28483,28674.10167
050902030402,115281.7832,54.43498273
050902030501,23962.17237,170.4834324
050902030502,72207.89983,105926.2817
050902030503,48939.41146,0
050902030504,21929.55582,13965.67356
050902030505,35177.93571,46140.47832
050902030506,59684.07134,40223.95928
050902030507,35445.76386,22223.4607
050902030601,42192.49328,451.9402453
050902030602,19611.25131,4025.407167
050902030805,31806.7971,10177.76125
050902030901,61929.20556,11057.51965
050902030902,29292.83872,6658.484009
050902031005,21189.28301,7166.058578
050902031007,32600.96348,11845.78793
050902031008,34277.83481,26396.76739
051201010401,34997.28361,0.0465647
051201010402,16351.27837,74169.06388
051201010403,11928.3485,0
051201010404,11373.21091,0
051201010405,13381.14624,5.771372013
051201010502,8062.423544,1609.377666
051201010904,32201.96691,46439.52537
051201011001,33568.65688,9574.410244
051201011002,42231.97777,19075.12427
051201011003,40159.02631,21884.45782
051201011004,30052.87864,13393.25766
051201011005,34345.23689,15208.47051
051201011305,50417.43077,21.64058347
051201011401,25854.18062,10610.75818
051201011402,30030.28129,25321.02381
051201011403,45833.55369,61160.79641
051201011404,80604.19355,1.203679893
051201011405,39130.76758,30884.89099
051201011406,26698.71361,174.1733034
051201011503,32520.16846,7720.687157
051201011504,33787.34176,23058.67123
051201011507,52705.82185,59574.92753
051201011603,53520.95496,97994.41633
051201020101,23882.61814,3755.932199
051201020102,11686.39879,3534.055676
051201020103,48716.19376,12.37430451
051201020104,14700.119,20.27042674
051201020105,29820.14419,49216.51825
051201020106,13813.01664,11565.55883
051201020107,12159.95036,302.040278
051201020108,16334.48931,660.6294742
051201020202,12425.83358,38266.1147
051201020404,66671.01916,62024.27899
051201020406,13244.46651,6363.246607
051201030101,21371.51714,6032.953603
051201030103,13521.83551,3176.701583
051201030104,12127.30131,0
051201030105,17058.51247,4976.55349
051201030201,17469.52857,18767.29246
051201030202,21261.30854,17495.01648
051201030203,32342.5775,12904.04543
051201030204,24345.22837,12072.6621
051201030205,37635.9009,3797.998131
051201030206,53594.50531,9418.73466
051201030401,38697.16095,15512.23143
051201030402,43118.14821,24415.98032
051201030403,19419.10132,3550.364608
051201030404,27304.22414,12443.89299
051201030501,16601.98062,3313.575454
051201030604,29537.34597,7642.61085
051201030605,29279.14404,3044.572577
051201040101,40106.77237,179.8256955
051201040102,19232.57383,14062.05985
051201040103,52285.08094,53180.92732
051201040104,17154.89314,15783.93935
051201040201,30211.42889,18895.79852
051201040202,24487.40235,11918.20279
051201040203,50153.80519,10204.98895
051201040204,35715.2238,5225.665397
051201040205,30096.20806,3898.158558
051201040301,28173.73308,28182.67976
051201040302,32960.97987,10551.62935
051201040303,8255.217001,955.313957
051201040304,28407.32765,12271.45463
051201040401,30916.72269,7971.042618
051201040402,17096.48408,2186.983651
051201040403,17140.61046,9850.212054
051201040404,28312.4932,5476.520567
051201040405,55934.3215,435.5922714
051201040406,14791.72193,7068.751048
051201040407,24463.16121,16040.63109
051201040501,25842.63927,31944.64199
051201040502,43501.40006,17793.32808
051201040503,27874.53788,2222.518092
051201040506,30779.2872,2776.126761
051201040507,34979.83819,46241.00335
051201040508,20987.07359,25584.29047
051201040509,19892.54242,3398.635658
051201040701,65688.75047,0.047366508
051201040702,41100.37245,5139.116046
051201040703,26019.27034,112.8785032
051201040705,27527.16058,34466.88113
051201050101,14323.30023,2785.453718
051201050102,29216.0936,17689.58397
051201050103,18693.56051,865.6221884
051201050104,20623.62494,3667.348357
051201050201,31130.89136,13096.13855
051201050202,17817.57564,34638.20987
051201050203,47631.81591,7407.339099
051201050206,28756.46995,847.4104261
051201050401,49617.13022,42640.29176
051201050403,23037.2728,16936.69359
051201050404,49113.32418,33011.15756
051201050501,39163.3971,24339.33173
051201050502,42212.87497,16816.96718
051201050507,84867.50525,2693.532154
051201060101,19130.79132,9507.921041
051201060102,44734.22394,22445.84923
051201060103,50743.4779,25565.88032
051201060104,24502.1547,13825.33891
051201060105,28430.35905,17406.41709
051201060201,17034.85692,10205.66072
051201060202,35913.42564,20024.52223
051201060203,65678.80612,55299.46026
051201060204,34016.35898,11892.53977
051201060205,22473.06368,13257.57793
051201060301,23614.74472,10344.25463
051201060302,35957.08956,6606.491717
051201060303,32533.08036,54443.10795
051201060304,36623.45533,1019.937181
051201060305,47484.50501,1148.524248
051201060401,56784.85731,24588.0643
051201060402,2969.76546,240.5701303
051201060403,19410.66724,31669.05274
051201060404,27757.96578,74383.63695
051201060405,27825.96385,11449.56748
051201060406,16733.53226,4361.506783
051201060407,19650.02179,38848.14976
051201060408,33359.89321,87276.61726
051201060409,16699.81576,2023.355076
051201060502,42385.24329,14896.89528
051201060503,31342.72406,1090.855866
051201060504,14021.72015,4862.508443
051201060505,3435.236982,1791.631753
051201060506,23574.96895,11566.57957
051201060507,27111.13639,28374.90335
051201060508,9660.614616,7813.219282
